[77, 463.45099999999996, 1, [52.6107003, 39.5720913], [52.6103607, 39.565286]],
[78, 78.739, 1, [52.6107003, 39.5720913], [52.6103476, 39.5730126]],
[79, 104.507, 1, [52.61021, 39.564907], [52.6102797, 39.5633635]],
[80, 30.998, 1, [52.61021, 39.564907], [52.6103607, 39.565286]],
[81, 528.935, 1, [52.605957, 39.568893], [52.6095791, 39.5638155]],
[82, 33.353, 1, [52.605957, 39.568893], [52.6056837, 39.5690872]],
[83, 6.596, 1, [52.6049527, 39.5405121], [52.6049888, 39.5405896]],
[84, 131.725, 1, [52.6049527, 39.5405121], [52.6045851, 39.5386827]],
[85, 86.17, 1, [52.6089553, 39.5731863], [52.6097222, 39.5733605]],
[86, 279.824, 1, [52.6089553, 39.5731863], [52.6064421, 39.5733992]],
[87, 41.834, 1, [52.6103476, 39.5730126], [52.6099724, 39.5730583]],
[88, 83.068, 1, [52.6110928, 39.5729262], [52.6103476, 39.5730126]],
[89, 75.686, 1, [52.6110928, 39.5729262], [52.6107003, 39.5720913]],
[90, 279.824, 1, [52.6064421, 39.5733992], [52.6089553, 39.5731863]],
[91, 241.356, 1, [52.6064421, 39.5733992], [52.6059838, 39.5699751]],
[92, 119.434, 1, [52.6064421, 39.5733992], [52.6065166, 39.5751636]],
[93, 206.676, 1, [52.6064421, 39.5733992], [52.6045851, 39.5735246]],
[94, 22.565999999999995, 1, [52.6110839, 39.5732172], [52.6110928, 39.5729262]],
[95, 74.075, 1, [52.6110839, 39.5732172], [52.6117292, 39.572968]],
[96, 2.926, 1, [52.6054745, 39.5693457], [52.6054782, 39.5693886]],
[97, 3.757, 1, [52.6058084, 39.5694181], [52.6058071, 39.5693625]],
[98, 39.677, 1, [52.6053071, 39.5688303], [52.6054745, 39.5693457]],
[99, 274.835, 1, [52.6053071, 39.5688303], [52.603376, 39.5662905]],
[100, 46.58, 1, [52.6056211, 39.56963], [52.6059838, 39.5699751]],
[101, 27.259999999999998, 1, [52.6056211, 39.56963], [52.6058084, 39.5694181]],
[102, 42.378, 1, [52.6059838, 39.5699751], [52.6058084, 39.5694181]],
[103, 241.35599999999997, 1, [52.6059838, 39.5699751], [52.6064421, 39.5733992]],
[104, 4.959, 1, [52.6056837, 39.5690872], [52.6056391, 39.5690869]],
[105, 206.67600000000002, 1, [52.6045851, 39.5735246], [52.6064421, 39.5733992]],
[106, 64.957, 1, [52.6045851, 39.5735246], [52.6040043, 39.5734251]],
[107, 15.272, 1, [52.6024682, 39.5743214], [52.6025782, 39.5744568]],
[108, 5.48, 1, [52.604206, 39.584598], [52.6041568, 39.5846028]],
[109, 310.086, 1, [52.604206, 39.584598], [52.6040675, 39.5800119]],
[110, 146.596, 1, [52.604206, 39.584598], [52.605522, 39.584468]],
[111, 386.058, 1, [52.6036955, 39.5743736], [52.6040044, 39.5800222]],
[112, 40.234, 1, [52.6036955, 39.5743736], [52.6040206, 39.5741445]],
[113, 148.916, 1, [52.6027215, 39.5733856], [52.6015644, 39.5724572]],
[114, 56.402, 1, [52.6027215, 39.5733856], [52.6023333, 39.5738686]],
[115, 76.402, 1, [52.6002142, 39.5804094], [52.5998948, 39.581411]],
[116, 119.958, 1, [52.6002142, 39.5804094], [52.6012917, 39.5803229]],
[117, 290.971, 1, [52.6002142, 39.5804094], [52.6014249, 39.57659]],
[118, 8.744, 1, [52.6040043, 39.5734251], [52.6039357, 39.5733618]],
[119, 48.915000000000006, 1, [52.6020797, 39.5745886], [52.6024682, 39.5743214]],
[120, 153.537, 1, [52.6020797, 39.5745886], [52.6014249, 39.57659]],
[121, 308.95900000000006, 1, [52.6028059, 39.580151], [52.602947, 39.58472]],
[122, 133.559, 1, [52.6028059, 39.580151], [52.6040044, 39.5800222]],
[123, 168.772, 1, [52.6028059, 39.580151], [52.6012917, 39.5803229]],
